"ID","Stratum","Latitude (Y)","Longitude (X)","Date","Crew","Contact Info","Size (ha)","Photo ID","Stake","% Tree","% Shrub","% Measured","Notes","Complete?"
1,Urban,45.506009,9.1530369274175634,6/21/2021,Gianlu,,0.0314,,False,100%,"65% - 70%",100,"Tappeto di edera e materia organica. Presenza di Luppolo e Rovo. Massicia presenza di giovani Prunus (Ciliegi e Susine), Sambuco, Platano e Biancospino. 5 alberi sopra i venti metri (Celtis Australis) piantumati da Aem. Vicinanza con la cisterna dell'acqua. Probabilmente ripulito nei primi anni 2000. Presenza di botole per accesso ai manometri sotterranei. Vegetazione rigogliosa.",True
2,Urban,45.506778,9.1520690408064169,6/21/2021,Gianlu,,0.0314,,False,"90% - 95%","70% - 75%",100,"Ai limiti del plot sono presenti tubi e metanodotti, gli alberi sono cresciuti anche tra questi rifiuti industriali.
Notevole presenza di Bagolari, distesa di edera leggermente fastidiosa per le piante. Buon numero di giovani alberi.",True
3,Urban,45.505268,9.1529724168584465,6/20/2021,Gianlu,,0.0314,,False,0%,0%,1,,True
4,Urban,45.507184,9.1555857412820938,6/21/2021,Gianlu,,0.0314,,False,"75% - 80%","55% - 60%",100,"Plot al confine con il muro perimetrale Est ed il sentiero. Prevalenza di robinie, presenza di Rovo, Leguminose, Ombrellifere, Parietaria, Erba secca",True
5,Urban,45.507416,9.1498076432329256,6/20/2021,Gianlu,,0.0314,,False,"15% - 20%","55% - 60%",100,"Adiacente a strada in asfalto.",True
6,Urban,45.507488,9.1501596759204062,6/21/2021,Gianlu,,0.0314,,False,"50% - 55%","55% - 60%",100,"19 giugno 2021
Plot a bordo strada, presenza di rovo, vite canadese, carota selvatica, margherita Nerigeon.",True
7,Urban,45.508391,9.1541136875870137,6/26/2021,Gianlu,,0.0314,,False,"95% - 99%","35% - 40%",100,"Terra rialzata, in prossimità di vecchi binari.
Suolo profondo.",True
8,Urban,45.505794,9.1557654563356543,6/21/2021,Gianlu,,0.0314,,False,"95% - 99%","70% - 75%",100,"Presenza di sentiero, da qui passava una piccola strada interna in epoca industriale. Massiccia presenza di giovani Aceri, prevalenza di Sambuco e Morus Alba. Due esemplari adulti di Robinia sono morti ma restano in piedi, sono nutrimento per le altre piante. Presenza di un Platano sopra i venti metri. Tra le piante erbacee: il Rovo primeggia, poi Parietaria, Fitolacca, Celidonia, Piantaggine e Fragolina di bosco.",True
9,Urban,45.507859,9.15174758390869,6/23/2021,Gianlu,,0.0314,,False,100%,"75% - 80%",100,"Binari ai margini del plot. Presenza di Edera e Rovo, Parietaria. Presente qualche giovane quercus.",True
10,Urban,45.507992,9.1498507221773568,6/23/2021,Gianlu,,0.0314,,False,"95% - 99%","75% - 80%",100,"Fitto bosco. Prevalenza di pioppo e Robinia.
Presenza di rovo ed alcune erbacee. Presenza di giovani Tigli nel sottobosco.",True
11,Urban,45.506506,9.1513410681707086,6/21/2021,Gianlu,,0.0314,,False,100%,"90% - 95%",100,"Suolo profondo sopra i 20cm. Distesa di edera e materia organica ai piedi di un Populus Nigra sopra i venti metri in buono stato di salute. Massiccia presenza di Prunus, in particolare ciliegi selvatici, e Bagolari.",True
12,Urban,45.508764,9.1539508757784009,6/25/2021,Gianlu,,0.0314,,False,"60% - 65%","85% - 90%",100,"Distesa di rovi e vite americana",True
13,Urban,45.50423,9.1560916658089671,6/23/2021,Gianlu,,0.0314,,False,"50% - 55%","50% - 55%",50,"Plot al margine sud del Lotto 1B, confinante con l strada (via degli Ailanti). Presente rovo in abbondanza.",True
14,Urban,45.507691,9.1536866403367618,6/21/2021,Gianlu,,0.0314,,False,"85% - 90%","5% - 10%",100,"19 giugno 2021
Tappeto di edera. Presenza di vite americana, ottica, Bryonia",True
15,Urban,45.507139,9.1496602633814454,6/19/2021,Gianlu,,0.0314,,False,"45% - 50%","65% - 70%",100,,True
16,Urban,45.50881,9.1530983317250136,6/25/2021,Gianlu,,0.0314,,False,"65% - 70%","90% - 95%",100,"Vegetazione rigogliosa, montagnette di terra di riporto che costituiscono più livelli di suolo. Presenza di rovo, Celidonia, Parietaria. Plot nei pressi di una vasca d’acqua. ",True
17,Urban,45.506281,9.1534835429406112,6/21/2021,Gianlu,,0.0314,,False,"45% - 50%","60% - 65%",100,"Presenza di asfalto sul 45% dell'area. Numerosi alberi e arbusti non hanno suolo intorno al colletto. Massiccia presenza di Robinie, presenti numerosi giovani Ulmus minor. Presenza di Oenothera e fragola di bosco.",True
18,Urban,45.507127,9.1503814488417632,6/21/2021,Gianlu,,0.0314,,False,"90% - 95%","95% - 99%",100,"19 giugno 2021
Distesa di Vite Canadese, caratteristiche di foresta primiziale. Ceppaia di Pioppi e Bagolari, nessuna Robinia, si stanno insediando Prunus, Biancospino e ai margini del plot è presente un Fico. Un esemplare di Pioppo Nero adulto è a terra in stato di decomposizione avanzata, crollando ha sollevando il cemento. Ai suoi margini è ripartito con altri due fusti che ora sono alberi sopra i 20 metri, in buona salute. Numerosa presenza di zanzare.",True
19,Urban,45.507774,9.1539630783589434,6/21/2021,Gianlu,,0.0314,,False,"85% - 90%","90% - 95%",100,"19 giugno 2021
Tappeto di Edera, presenza di una botola per accesso sotterraneo al margine del plot, tra i rovi. Sentiero di Sculture.
Ceppaia di Bagolari e Robinie. Presenza di una Robinia con circonferenza di 2,30 cm attaccata da fungo Ganoderma.",True
20,Urban,45.507621,9.1492961609971477,6/23/2021,Gianlu,,0.0314,,False,"20% - 25%","60% - 65%",100,"Mentuccia, margherite, verbasco, ombrellifere, fragolina di bosco. Suolo poco profondo.",True
21,Urban,45.506715,9.1536229842660166,6/23/2021,Gianlu,,0.0314,,False,"85% - 90%","85% - 90%",100,"Presenza di rovi, sottobosco di giovani ailanti. Montagnetta di terra di scavo e presenza di rifiuti industriali. ",True
22,Urban,45.508582,9.1499091016402918,6/25/2021,"Gianlu ",,0.0314,,False,"90% - 95%","70% - 75%",100,"Limitrofo a zona stoccaggio carburanti. Presenza di rovo, Parietaria, giovane Susino.",True
23,Urban,45.506261,9.152746468161423,6/21/2021,Gianlu,,0.0314,,False,"50% - 55%","20% - 25%",100,"A Nord della cisterna dell'acqua. Presenza di un sentiero ed erba secca. Massiccia presenza di erbe officinali e aromatiche: Viperina Piantagina, Margherite Nerigeon, Artemisia, Cardo, Ranuncoli, Mentuccia, Carota selvatica, Meliloto, Achillea, Trifoglio, Hyperico, Verbasco. Prevalenza di Ulmus Minor.",True
24,Urban,45.507107,9.1556681842095919,6/21/2021,Gianlu,,0.0314,,False,"95% - 99%","80% - 85%",100,"Plot ai margini, confinante con il muro perimetrale Est ed il sentiero. Rialzo della terra in prossimità del centro del plot. Questo permette di avere più livelli di vegetazione. Prevalenza di Robinie, presenza di due giovani esemplari di Sambuco e di un esemplare rinsecchito. Massiccia presenza di materia organica. ",True
25,Urban,45.508546,9.151134118191953,6/23/2021,Gianlu,,0.0314,,False,"45% - 50%","55% - 60%",100,"Presenza di asfalto e rovi alti.
Celidonia e Bryonia",True
